Entity,Code,Year,Poverty headcount ratio at national poverty lines (% of population)
Afghanistan,AFG,2007,33.70000076293945
Afghanistan,AFG,2011,38.29999923706055
Afghanistan,AFG,2016,54.5
Albania,ALB,2002,25.399999618530273
Albania,ALB,2005,18.5
Albania,ALB,2008,12.399999618530273
Albania,ALB,2012,14.300000190734863
Albania,ALB,2016,23.700000762939453
Albania,ALB,2017,23.399999618530273
Albania,ALB,2018,23
Albania,ALB,2019,21.799999237060547
Algeria,DZA,2011,5.5
Angola,AGO,2018,32.29999923706055
Argentina,ARG,2016,30.299999237060547
Argentina,ARG,2017,25.700000762939453
Argentina,ARG,2018,32
Argentina,ARG,2019,35.5
Argentina,ARG,2020,42
Armenia,ARM,2019,26.399999618530273
Armenia,ARM,2020,27
Austria,AUT,2002,13.199999809265137
Austria,AUT,2003,13
Austria,AUT,2004,12.600000381469727
Austria,AUT,2005,12.600000381469727
Austria,AUT,2006,12
Austria,AUT,2007,15.199999809265137
Austria,AUT,2008,14.5
Austria,AUT,2009,14.699999809265137
Austria,AUT,2010,14.5
Austria,AUT,2011,14.399999618530273
Austria,AUT,2012,14.399999618530273
Austria,AUT,2013,14.100000381469727
Austria,AUT,2014,13.899999618530273
Austria,AUT,2015,14.100000381469727
Austria,AUT,2016,14.399999618530273
Austria,AUT,2017,14.300000190734863
Austria,AUT,2018,13.300000190734863
Austria,AUT,2019,13.899999618530273
Azerbaijan,AZE,2001,49.599998474121094
Azerbaijan,AZE,2007,15.800000190734863
Azerbaijan,AZE,2008,13.199999809265137
Azerbaijan,AZE,2009,10.899999618530273
Azerbaijan,AZE,2010,9.100000381469727
Azerbaijan,AZE,2011,7.599999904632568
Azerbaijan,AZE,2012,6
Bangladesh,BGD,2000,48.900001525878906
Bangladesh,BGD,2005,40
Bangladesh,BGD,2010,31.5
Bangladesh,BGD,2016,24.299999237060547
Belarus,BLR,2000,41.900001525878906
Belarus,BLR,2001,28.899999618530273
Belarus,BLR,2002,30.5
Belarus,BLR,2003,27.100000381469727
Belarus,BLR,2004,17.799999237060547
Belarus,BLR,2005,12.699999809265137
Belarus,BLR,2006,11.100000381469727
Belarus,BLR,2007,7.699999809265137
Belarus,BLR,2008,6.099999904632568
Belarus,BLR,2009,5.400000095367432
Belarus,BLR,2010,5.199999809265137
Belarus,BLR,2011,7.300000190734863
Belarus,BLR,2012,6.300000190734863
Belarus,BLR,2013,5.5
Belarus,BLR,2014,4.800000190734863
Belarus,BLR,2015,5.099999904632568
Belarus,BLR,2016,5.699999809265137
Belarus,BLR,2017,5.900000095367432
Belarus,BLR,2018,5.599999904632568
Belarus,BLR,2019,5
Belarus,BLR,2020,4.800000190734863
Belgium,BEL,2018,14.800000190734863
Belgium,BEL,2019,14.100000381469727
Benin,BEN,2006,37.5
Benin,BEN,2007,33
Benin,BEN,2010,35.20000076293945
Benin,BEN,2011,36.20000076293945
Benin,BEN,2015,40.099998474121094
Benin,BEN,2019,38.5
Bhutan,BTN,2007,23.200000762939453
Bhutan,BTN,2012,12
Bhutan,BTN,2017,8.199999809265137
Bolivia,BOL,2019,37.20000076293945
Bolivia,BOL,2020,39
Bosnia and Herzegovina,BIH,2007,18.200000762939453
Bosnia and Herzegovina,BIH,2011,17.899999618530273
Bosnia and Herzegovina,BIH,2015,16.899999618530273
Botswana,BWA,1985,59
Botswana,BWA,1993,32.900001525878906
Botswana,BWA,2002,30.600000381469727
Botswana,BWA,2009,19.299999237060547
Bulgaria,BGR,2015,22.899999618530273
Bulgaria,BGR,2016,23.399999618530273
Bulgaria,BGR,2017,22
Bulgaria,BGR,2018,22.600000381469727
Bulgaria,BGR,2019,23.799999237060547
Burkina Faso,BFA,2018,41.400001525878906
Burundi,BDI,2006,67.0999984741211
Burundi,BDI,2013,64.9000015258789
Cambodia,KHM,2003,50.20000076293945
Cambodia,KHM,2006,45
Cambodia,KHM,2008,34
Cambodia,KHM,2009,23.899999618530273
Cambodia,KHM,2010,22.100000381469727
Cambodia,KHM,2011,20.5
Cambodia,KHM,2012,17.700000762939453
Cameroon,CMR,1996,53.29999923706055
Cameroon,CMR,2001,40.20000076293945
Cameroon,CMR,2007,39.900001525878906
Cameroon,CMR,2014,37.5
Cape Verde,CPV,2001,58
Cape Verde,CPV,2007,46
Cape Verde,CPV,2015,35
Central African Republic,CAF,2008,62
Chad,TCD,2018,42.29999923706055
Chile,CHL,2000,36
