Entity,Code,Year,Indicator:UHC Service Coverage Index (SDG 3.8.1)
Afghanistan,AFG,2000,20.75875
Afghanistan,AFG,2005,25.52582
Afghanistan,AFG,2010,27.51316
Afghanistan,AFG,2015,32.19185
Afghanistan,AFG,2017,35.78093
Afghanistan,AFG,2019,37.32812
Africa,,2000,26.89946
Africa,,2005,32.22632
Africa,,2010,41.12048
Africa,,2015,45.35265
Africa,,2017,46.84041
Africa,,2019,48.7066
Albania,ALB,2000,45.00156
Albania,ALB,2005,55.25524
Albania,ALB,2010,59.32895
Albania,ALB,2015,61.65859
Albania,ALB,2017,61.72466
Albania,ALB,2019,62.16244
Algeria,DZA,2000,60.90524
Algeria,DZA,2005,64.7432
Algeria,DZA,2010,70.38388
Algeria,DZA,2015,74.84055
Algeria,DZA,2017,75.00342
Algeria,DZA,2019,74.99418
Americas,,2000,65.44462
Americas,,2005,70.61555
Americas,,2010,73.83802
Americas,,2015,76.11146
Americas,,2017,76.66536
Americas,,2019,77.11375
Andorra,AND,2000,65.57768
Andorra,AND,2005,70.72081
Andorra,AND,2010,73.12287
Andorra,AND,2015,75.18026
Andorra,AND,2017,76.05803
Andorra,AND,2019,77.16097
Angola,AGO,2000,21.98858
Angola,AGO,2005,23.13457
Angola,AGO,2010,31.94956
Angola,AGO,2015,36.67979
Angola,AGO,2017,38.52513
Angola,AGO,2019,38.68759
Antigua and Barbuda,ATG,2000,43.46744
Antigua and Barbuda,ATG,2005,64.74551
Antigua and Barbuda,ATG,2010,69.39568
Antigua and Barbuda,ATG,2015,71.72548
Antigua and Barbuda,ATG,2017,71.68555
Antigua and Barbuda,ATG,2019,72.32534
Argentina,ARG,2000,68.05096
Argentina,ARG,2005,71.77358
Argentina,ARG,2010,73.03524
Argentina,ARG,2015,73.94286
Argentina,ARG,2017,73.73752
Argentina,ARG,2019,73.40932
Armenia,ARM,2000,45.51058
Armenia,ARM,2005,45.67663
Armenia,ARM,2010,56.59416
Armenia,ARM,2015,64.80625
Armenia,ARM,2017,67.6055
Armenia,ARM,2019,69.26011
Asia,,2000,40.61875
Asia,,2005,46.7922
Asia,,2010,56.3425
Asia,,2015,63.23112
Asia,,2017,65.85437
Asia,,2019,68.57346
Australia,AUS,2000,79.93006
Australia,AUS,2005,81.57987
Australia,AUS,2010,83.26805
Australia,AUS,2015,86.08957
Australia,AUS,2017,86.64579
Australia,AUS,2019,87.15386
Austria,AUT,2000,65.91978
Austria,AUT,2005,72.39019
Austria,AUT,2010,75.89667
Austria,AUT,2015,79.26938
Austria,AUT,2017,80.79939
Austria,AUT,2019,82.25915
Azerbaijan,AZE,2000,44.20659
Azerbaijan,AZE,2005,39.39053
Azerbaijan,AZE,2010,53.18852
Azerbaijan,AZE,2015,60.96108
Azerbaijan,AZE,2017,63.26969
Azerbaijan,AZE,2019,65.27561
Bahamas,BHS,2000,49.91603
Bahamas,BHS,2005,63.70282
Bahamas,BHS,2010,64.19285
Bahamas,BHS,2015,67.08147
Bahamas,BHS,2017,68.63021
Bahamas,BHS,2019,69.80581
Bahrain,BHR,2000,63.84784
Bahrain,BHR,2005,66.48587
Bahrain,BHR,2010,68.88374
Bahrain,BHR,2015,71.62455
Bahrain,BHR,2017,71.92318
Bahrain,BHR,2019,71.43671
Bangladesh,BGD,2000,24.09303
Bangladesh,BGD,2005,26.14737
Bangladesh,BGD,2010,36.57093
Bangladesh,BGD,2015,44.56848
Bangladesh,BGD,2017,47.80971
Bangladesh,BGD,2019,50.74118
Barbados,BRB,2000,40.71511
Barbados,BRB,2005,67.7754
Barbados,BRB,2010,70.47026
Barbados,BRB,2015,73.08539
Barbados,BRB,2017,73.6031
Barbados,BRB,2019,74.45894
Belarus,BLR,2000,49.68502
Belarus,BLR,2005,54.66303
Belarus,BLR,2010,64.84624
Belarus,BLR,2015,68.78521
Belarus,BLR,2017,70.79737
Belarus,BLR,2019,73.54218
Belgium,BEL,2000,76.09647
Belgium,BEL,2005,79.16588
Belgium,BEL,2010,81.84249
Belgium,BEL,2015,84.10607
Belgium,BEL,2017,84.52161
Belgium,BEL,2019,85.49881
Belize,BLZ,2000,46.32613
Belize,BLZ,2005,59.41876
Belize,BLZ,2010,64.28819
Belize,BLZ,2015,64.14784
Belize,BLZ,2017,64.91026
Belize,BLZ,2019,67.16825
Benin,BEN,2000,22.97544
Benin,BEN,2005,23.95827
Benin,BEN,2010,35.06947
Benin,BEN,2015,37.4328
Benin,BEN,2017,37.51313
Benin,BEN,2019,38.20319
Bhutan,BTN,2000,39.54354
Bhutan,BTN,2005,38.32421
Bhutan,BTN,2010,49.27396
Bhutan,BTN,2015,57.21364
Bhutan,BTN,2017,59.70328
Bhutan,BTN,2019,62.38601
Bolivia,BOL,2000,43.01198
Bolivia,BOL,2005,48.84038
Bolivia,BOL,2010,57.08524
Bolivia,BOL,2015,65.11317
Bolivia,BOL,2017,64.92526
Bolivia,BOL,2019,66.75241
Bosnia and Herzegovina,BIH,2000,43.19813
Bosnia and Herzegovina,BIH,2005,58.60844
Bosnia and Herzegovina,BIH,2010,59.2752
Bosnia and Herzegovina,BIH,2015,62.49655
Bosnia and Herzegovina,BIH,2017,64.83011
Bosnia and Herzegovina,BIH,2019,64.61285
Botswana,BWA,2000,32.22149
Botswana,BWA,2005,46.0782
Botswana,BWA,2010,50.64527
Botswana,BWA,2015,53.03857
Botswana,BWA,2017,54.4178
Botswana,BWA,2019,53.65757
Brazil,BRA,2000,68.45669
Brazil,BRA,2005,72.08211
Brazil,BRA,2010,73.61505
Brazil,BRA,2015,75.0528
Brazil,BRA,2017,75.41281
Brazil,BRA,2019,75.03448
Brunei,BRN,2000,54.96594
Brunei,BRN,2005,67.15147
Brunei,BRN,2010,72.65869
Brunei,BRN,2015,73.42524
Brunei,BRN,2017,77.71657
Brunei,BRN,2019,76.81353
